country_code,statisticalAreaCode,statisticalArea,year,share_industry
DEU,DE23,"Oberpfalz, Regierungsbezirk",1980,0.402
DEU,DE24,"Oberfranken, Regierungsbezirk",1980,0.488
DEU,DE25,"Mittelfranken, Regierungsbezirk",1980,0.431
DEU,DE26,"Unterfranken, Regierungsbezirk",1980,0.423
DEU,DE27,"Schwaben, Regierungsbezirk",1980,0.416
DEU,DE30,Berlin,1980,0.347
DEU,DE40,Brandenburg,1980,0.477
DEU,DE50,Bremen,1980,0.333
DEU,DE60,Hamburg,1980,0.283
DEU,DE71+DE72,Darmstadt and Giessen,1980,0.391
DEU,DE73,"Kassel, Regierungsbezirk",1980,0.381
DEU,DE80,Mecklenburg-Vorpommern,1980,0.365
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1980,0.4
DEU,DE93,Statistische Region Lüneburg,1980,0.301
