statisticalAreaCode ,statisticalArea ,year ,population_raw,population
UKD4,Lancashire,1931,905844,1172323.35245895
UKD6,Cheshire,1931,584227,510081.247169152
UKD7,Merseyside,1931,1585983,1779556.24158767
UKE1,East Yorkshire and Northern Lincolnshire,1931,170825,552765.800098102
UKE2,North Yorkshire,1931,394907,549748.870463806
UKE3,South Yorkshire,1931,1178520,1213669.15558584
UKE4,West Yorkshire,1931,1934825,2003490.05046669
UKF1,Derbyshire and Nottinghamshire,1931,1025949,1410966.83344804
UKF2,Leicestershire  Rutland and Northamptonshire,1931,618999,801085.437901955
UKF3,Lincolnshire,1931,404519,421265.2653955
UKG1,Herefordshire  Worcestershire and Warwickshire,1931,658676,672910.648330059
UKG2,Shropshire and Staffordshire,1931,644690,906911.213802159
UKG3,West Midlands,1931,2109967,2179364.1679359
UKH1,East Anglia,1931,1168995,1316673.52533929
UKH2,Bedfordshire and Hertfordshire,1931,448061,617130.121662114
UKH3,Essex,1931,455642,577910.165055706
UKI3,Inner London - West,1931,1476000,1513046.82097654
UKI4,Inner London - East,1931,3275000,3347813.55163157
UKI5,Outer London - East and North East,1931,1217000,1229817.44315058
UKI6,Outer London - South,1931,790000,796697.629277905
UKI7,Outer London - West and North West,1931,1206000,1216865.16113719
UKJ1,Berkshire  Buckinghamshire and Oxfordshire,1931,847600,983097.41516527
UKJ2,Surrey  East and West Sussex,1931,1073942,1256723.07175434
UKJ3,Hampshire and Isle of Wight,1931,534778,745192.235985763
UKJ4,Kent,1931,818862,1019149.43709184
UKK1,Gloucestershire  Wiltshire and Bath/Bristol area,1931,927931,1495136.03990032
UKK2,Dorset and Somerset,1931,482081,676872.286147984
UKK3,Cornwall and Isles of Scilly,1931,316799,332120.133964235
UKK4,Devon,1931,442600,756910.190374301
UKL1,West Wales and The Valleys,1931,1426420,1914199.47309656
UKL2,East Wales,1931,2185069,896214.604301966
UKM5,North Eastern Scotland,1931,442689,415416.240475694
UKM6,Highlands and Islands,1931,385189,605052.693404833
UKM7,Eastern Scotland,1931,1479919,1671347.68157934
UKM8,West Central Scotland,1931,1773206,1673312.23987454
UKM9,Southern Scotland,1931,835870.5,708683.11933752
UKN0,Northern Ireland,1931,1243000,1243000
UKC1,Tees Valley and Durham,1941,511769.5,1214653.54307285
UKC2,Northumberland and Tyne and Wear,1941,1466929.5,1509105.6594045
UKD1,Cumbria,1941,456664.5,473374.257131409
UKD3,Greater Manchester,1941,2697367.5,2777496.19125094
UKD4,Lancashire,1941,929788,1203311.14986256
UKD6,Cheshire,1941,646572,564513.882693975
UKD7,Merseyside,1941,1617887.5,1815354.76660953
UKE1,East Yorkshire and Northern Lincolnshire,1941,190269,615683.863713542
UKE2,North Yorkshire,1941,417127,580681.266956413
UKE3,South Yorkshire,1941,1216150.5,1252421.97875327
UKE4,West Yorkshire,1941,1956925.5,2026374.8756371
UKF1,Derbyshire and Nottinghamshire,1941,1096795.5,1508400.58674949
UKF2,Leicestershire  Rutland and Northamptonshire,1941,676687,875743.09767473
UKF3,Lincolnshire,1941,430505,448327.033041933
UKG1,Herefordshire  Worcestershire and Warwickshire,1941,734031.5,749894.656188605
UKG2,Shropshire and Staffordshire,1941,703390.5,989487.555463724
UKG3,West Midlands,1941,2309192,2385141.71154536
UKH1,East Anglia,1941,1236493.5,1392699.07544867
UKH2,Bedfordshire and Hertfordshire,1941,555100.5,764559.377182348
UKH3,Essex,1941,536637.5,680640.209199506
UKI3,Inner London - West,1941,1403000,1438214.55950548
UKI4,Inner London - East,1941,2939000,3004343.21473135
UKI5,Outer London - East and North East,1941,1535000,1551166.61892863
UKI6,Outer London - South,1941,1027000,1035706.91806128
UKI7,Outer London - West and North West,1941,1614000,1628540.93704429
UKJ1,Berkshire  Buckinghamshire and Oxfordshire,1941,965936.5,1120351.19910782
UKJ2,Surrey  East and West Sussex,1941,1267282.5,1482969.43054701
UKJ3,Hampshire and Isle of Wight,1941,617655,860678.095429854
UKJ4,Kent,1941,877011.5,1091521.86393809
UKK1,Gloucestershire  Wiltshire and Bath/Bristol area,1941,1019385.5,1642492.81423059
UKK2,Dorset and Somerset,1941,521643,732419.842232099
UKK3,Cornwall and Isles of Scilly,1941,330328,346303.427763781
UKK4,Devon,1941,470534,804681.381648399
UKL1,West Wales and The Valleys,1941,1399378.5,1877910.84488626
UKL2,East Wales,1941,2193155.5,899531.313933418
UKM5,North Eastern Scotland,1941,454309.5,426320.835851789
UKM6,Highlands and Islands,1941,385456,605472.095488328
UKM7,Eastern Scotland,1941,1541565,1740967.63995452
UKM8,West Central Scotland,1941,1798595.5,1697271.4195267
UKM9,Southern Scotland,1941,863868,732420.475343806
UKN0,Northern Ireland,1941,1308000,1308000
UKC1,Tees Valley and Durham,1951,504864,1198263.76204508
UKC2,Northumberland and Tyne and Wear,1951,1470816,1513103.90140951
UKD1,Cumbria,1951,471488,488740.16208042
UKD3,Greater Manchester,1951,2688139,2767993.54706139
UKD4,Lancashire,1951,953732,1234298.94726617
UKD6,Cheshire,1951,708917,618946.518218798
UKD7,Merseyside,1951,1649792,1851153.29163138
UKE1,East Yorkshire and Northern Lincolnshire,1951,209713,678601.927328982
UKE2,North Yorkshire,1951,439347,611613.663449019
UKE3,South Yorkshire,1951,1253781,1291174.80192069
UKE4,West Yorkshire,1951,1979026,2049259.70080751
UKF1,Derbyshire and Nottinghamshire,1951,1167642,1605834.34005095
UKF2,Leicestershire  Rutland and Northamptonshire,1951,734375,950400.757447505
UKF3,Lincolnshire,1951,456491,475388.800688366
UKG1,Herefordshire  Worcestershire and Warwickshire,1951,809387,826878.664047151
UKG2,Shropshire and Staffordshire,1951,762091,1072063.89712529
UKG3,West Midlands,1951,2508417,2590919.25515483
UKH1,East Anglia,1951,1303992,1468724.62555805
UKH2,Bedfordshire and Hertfordshire,1951,662140,911988.632702582
UKH3,Essex,1951,617633,783370.253343307
UKI3,Inner London - West,1951,1282000,1314177.52336851
UKI4,Inner London - East,1951,2326000,2377714.29651756
UKI5,Outer London - East and North East,1951,1642000,1659293.54285394
UKI6,Outer London - South,1951,1101000,1110334.29093035
UKI7,Outer London - West and North West,1951,1770000,1785946.38077348
UKJ1,Berkshire  Buckinghamshire and Oxfordshire,1951,1088758,1262806.95556927
UKJ2,Surrey  East and West Sussex,1951,1460623,1709215.78933969
UKJ3,Hampshire and Isle of Wight,1951,700532,976163.954873945
UKJ4,Kent,1951,935161,1163894.29078433
UKK1,Gloucestershire  Wiltshire and Bath/Bristol area,1951,1110840,1789849.58856086
UKK2,Dorset and Somerset,1951,561205,787967.398316215
UKK3,Cornwall and Isles of Scilly,1951,343857,360486.721563326
UKK4,Devon,1951,498468,852452.572922497
UKL1,West Wales and The Valleys,1951,1372337,1841622.21667596
UKL2,East Wales,1951,2201242,902848.023564871
UKM5,North Eastern Scotland,1951,442977,415686.497647788
UKM6,Highlands and Islands,1951,385723,605891.497571822
UKM7,Eastern Scotland,1951,1601845,1809044.90515998
UKM8,West Central Scotland,1951,1823985,1721230.59917886
UKM9,Southern Scotland,1951,891865.5,756157.831350092
UKN0,Northern Ireland,1951,1370921,1370921
UKC1,Tees Valley and Durham,1961,512147,1215549.51618674
UKC2,Northumberland and Tyne and Wear,1961,1516054,1559642.55362159
UKD1,Cumbria,1961,478413,495918.553942794
UKD3,Greater Manchester,1961,2692693,2772682.8293542
UKD4,Lancashire,1961,970090,1255469.11056087
UKD6,Cheshire,1961,744593,650094.78520065
UKD7,Merseyside,1961,1711083,1919925.01339835
UKE1,East Yorkshire and Northern Lincolnshire,1961,222334,719441.71754141
UKE2,North Yorkshire,1961,432627,602258.771260436
UKE3,South Yorkshire,1961,1302659,1341510.57983428
UKE4,West Yorkshire,1961,2001203,2072223.74088824
UKF1,Derbyshire and Nottinghamshire,1961,1252460,1722482.81368794
UKF2,Leicestershire  Rutland and Northamptonshire,1961,829974,1074121.42061173
UKF3,Lincolnshire,1961,467754,487118.066023615
