key,country,statisticalArea1,statisticalArea1Code,statisticalArea2,statisticalArea2Code,statisticalArea3,statisticalArea3Code
BB6,GBR,North West (England),UKD,Lancashire,UKD4,East Lancashire,UKD46
BB7,GBR,North West (England),UKD,Lancashire,UKD4,Mid Lancashire,UKD45
BB8,GBR,North West (England),UKD,Lancashire,UKD4,East Lancashire,UKD46
BB9,GBR,North West (England),UKD,Lancashire,UKD4,East Lancashire,UKD46
BB94,GBR,North West (England),UKD,Lancashire,UKD4,East Lancashire,UKD46
BD1,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BD10,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BD11,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Calderdale and Kirklees,UKE44
BD12,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BD13,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BD14,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BD15,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BD16,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BD17,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BD18,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BD19,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Calderdale and Kirklees,UKE44
BD2,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BD20,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BD21,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BD22,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BD23,GBR,Yorkshire and the Humber,UKE,North Yorkshire,UKE2,North Yorkshire CC,UKE22
BD24,GBR,Yorkshire and the Humber,UKE,North Yorkshire,UKE2,North Yorkshire CC,UKE22
BD3,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BD4,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BD5,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BD6,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BD7,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BD8,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BD9,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BD97,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BD98,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BD99,GBR,Yorkshire and the Humber,UKE,West Yorkshire,UKE4,Bradford,UKE41
BH1,GBR,South West (England),UKK,Dorset and Somerset,UKK2,"Bournemouth, Christchurch and Poole",UKK24
