statisticalAreaCode,statisticalArea,area,country_code
24801,Jacksonville,2503.8999,US
24802,Springfield,2527.26,US
24900,Edwardsville,3361.26,US
25000,Quincy,3843.8701,US
25101,Mountain Home,1982.29,US
25102,West Plains,4523.7798,US
25103,Harrison,2735.99,US
25104,Heber Springs,1925.78,US
25105,Batesville,1962.1001,US
25200,Henderson,2696.29,US
25300,Union City,2177.24,US
25401,Paducah,2040.08,US
25402,Murray,410.81,US
25500,Centralia,2662.98,US
25601,Carbondale,3749.4199,US
25602,Harrisburg,896.9500099999998,US
25701,Cape Girardeau,3589.5901,US
25702,Poplar Bluff,2613.9102,US
25800,Blytheville,1979.38,US
25900,Jonesboro,3946.1001,US
26001,Roseau,3453.5601,US
26002,Duluth,12206.979,US
26003,West Cook,3339.29,US
26004,International Falls,3154.3501,US
26101,Moberly,2472.98,US
26102,Marshall,2005.48,US
26103,Brookfield,1389.8,US
26104,Trenton,893.2199699999999,US
26105,Polk,1171.1799,US
26106,Centerville,1477.72,US
26107,Kirksville,1823.62,US
26201,Bismarck,7785.5,US
26202,East Grant,1666.02,US
26203,Linton,3561.0801,US
26204,Steele,1433.3,US
26301,Devils Lake,3749.1201,US
26302,Carrington,1291.01,US
26303,Turtle Mountain,1981.01,US
26304,Minot,6558.1299,US
26305,Rugby,3378.79,US
26401,Ekalaka,6026.0498,US
26402,Baker,1623.0601,US
26403,Bowman,2386.3,US
26404,Lemmon,5013.52,US
26405,Scobey,1426.5699,US
26406,Wolf Point,5052.54,US
26407,Plentywood,1706.38,US
26408,Glasgow,10274.301,US
26409,Glendive,4275.75,US
26410,Dickinson,4576.3999,US
26411,Sidney,6905.29,US
26412,Williston,4571.6499,US
26501,Brookings,2189.6799,US
26502,Madison,1147.13,US
26503,Sioux Falls,3003.8201,US
26504,Watertown,2859.75,US
26601,Milbank,1801.87,US
26602,Sisseton,3112.3801,US
26603,East Corson,3657.8901,US
26604,Mobridge,1515.64,US
26605,Aberdeen,6550.46,US
26701,Bemidji,7113.1802,US
26702,Grafton,5029.71,US
26703,Thief River Falls,2863.71,US
26704,Grand Forks,5015.9302,US
26801,Fargo,5895.1001,US
26802,Lisbon,2873.0901,US
26803,Jamestown,4962.5601,US
26804,Cooperstown,716.21002,US
26901,Fergus Falls,4812.8101,US
